## created with command:
## bgzip -d -c gnomad.v2.1.1.lof_metrics.by_gene.txt.bgz | cut -f 1,2,21,24,29,30 > gnomad.v2.1.1.gene-constraints.tsv
## pLI (probability of being loss-of-function intolerant)
## pLI scores closer to one indicate more intolerance to protein-truncating variation. For a set of transcripts
## intolerant of protein-truncating variation, we suggest pLI ≥ 0.9.
##
## Observed / expected (oe)
## The constraint score shown in gnomAD is the ratio of the observed / expected (oe) number of loss-of-function variants
## in that gene. The expected counts are based on a mutational model that takes sequence context, coverage and methylation
## into account.
## Interpretation
## Observed/expected (oe) is a continuous measure of how tolerant a gene is to a certain class of variation
## (e.g. loss-of-function). When a gene has a low oe value, it is under stronger selection for that class of variation
## than a gene with a higher value. Because counts depend on gene size and sample size, the precision of the oe values
## varies a lot from one gene to the next. Therefore in addition to the oe value, we also display the 90% confidence
## interval (CI) for each of the oe values. When evaluating how constrained a gene is, it is essential to take the 90%
## CI into consideration.
## Although oe is a continuous value, we understand that it can be useful to use a threshold for certain applications. In
## particular, for the interpretation of Mendelian diseases cases, we suggest using the upper bound of the oe CI < 0.35
## as a threshold if needed. Again, ideally oe should be used as a continuous value rather than a cutoff and evaluating
## the oe 90% CI is a must.
#gene	transcript	pLI	oe_lof	oe_lof_lower	oe_lof_upper
MED13	ENST00000397786	1.0000e+00	0.0000e+00	0.0000e+00	3.0000e-02
NIPBL	ENST00000282516	1.0000e+00	6.6527e-03	1.0000e-03	3.2000e-02
SMC3	ENST00000361804	1.0000e+00	0.0000e+00	0.0000e+00	3.7000e-02
CNOT1	ENST00000317147	1.0000e+00	7.9978e-03	2.0000e-03	3.8000e-02
RLF	ENST00000372771	1.0000e+00	0.0000e+00	0.0000e+00	4.0000e-02
PCF11	ENST00000298281	1.0000e+00	0.0000e+00	0.0000e+00	4.0000e-02
FNDC3B	ENST00000336824	1.0000e+00	0.0000e+00	0.0000e+00	4.2000e-02
TAF1	ENST00000276072	1.0000e+00	0.0000e+00	0.0000e+00	4.3000e-02
RSF1	ENST00000308488	1.0000e+00	0.0000e+00	0.0000e+00	4.4000e-02
NCKAP1	ENST00000360982	1.0000e+00	0.0000e+00	0.0000e+00	4.4000e-02
KDM2A	ENST00000529006	1.0000e+00	0.0000e+00	0.0000e+00	4.5000e-02
BRD4	ENST00000263377	1.0000e+00	0.0000e+00	0.0000e+00	4.8000e-02
HELZ	ENST00000358691	1.0000e+00	1.0152e-02	3.0000e-03	4.8000e-02
FBN1	ENST00000316623	1.0000e+00	1.8895e-02	8.0000e-03	4.9000e-02
XPO1	ENST00000401558	1.0000e+00	0.0000e+00	0.0000e+00	5.1000e-02
PRR12	ENST00000418929	1.0000e+00	0.0000e+00	0.0000e+00	5.1000e-02
USP9X	ENST00000324545	1.0000e+00	1.0698e-02	3.0000e-03	5.1000e-02
POLA1	ENST00000379059	1.0000e+00	0.0000e+00	0.0000e+00	5.1000e-02
SYNGAP1	ENST00000418600	1.0000e+00	0.0000e+00	0.0000e+00	5.2000e-02
PRKDC	ENST00000314191	1.0000e+00	2.4934e-02	1.2000e-02	5.2000e-02
HDAC4	ENST00000345617	1.0000e+00	0.0000e+00	0.0000e+00	5.2000e-02
SMG1	ENST00000446231	1.0000e+00	2.3202e-02	1.0000e-02	5.3000e-02
ZC3H4	ENST00000253048	1.0000e+00	0.0000e+00	0.0000e+00	5.4000e-02
COL5A1	ENST00000371817	1.0000e+00	1.7445e-02	6.0000e-03	5.5000e-02
SMARCA4	ENST00000429416	1.0000e+00	1.1662e-02	3.0000e-03	5.5000e-02
TNPO1	ENST00000337273	1.0000e+00	0.0000e+00	0.0000e+00	5.6000e-02
AGO1	ENST00000373204	1.0000e+00	0.0000e+00	0.0000e+00	5.7000e-02
ARHGAP35	ENST00000404338	1.0000e+00	0.0000e+00	0.0000e+00	5.7000e-02
LRP1	ENST00000243077	1.0000e+00	3.2397e-02	1.8000e-02	5.8000e-02
TOP1	ENST00000361337	1.0000e+00	0.0000e+00	0.0000e+00	5.9000e-02
TRIP12	ENST00000283943	1.0000e+00	1.8956e-02	7.0000e-03	6.0000e-02
KMT2E	ENST00000311117	1.0000e+00	1.2722e-02	4.0000e-03	6.0000e-02
HCFC1	ENST00000310441	1.0000e+00	0.0000e+00	0.0000e+00	6.0000e-02
UBTF	ENST00000302904	1.0000e+00	0.0000e+00	0.0000e+00	6.0000e-02
HUWE1	ENST00000342160	1.0000e+00	2.6088e-02	1.2000e-02	6.0000e-02
KDM3B	ENST00000314358	1.0000e+00	1.2543e-02	3.0000e-03	6.0000e-02
TRRAP	ENST00000359863	1.0000e+00	3.0535e-02	1.6000e-02	6.0000e-02
GRIN2B	ENST00000609686	1.0000e+00	0.0000e+00	0.0000e+00	6.1000e-02
USP7	ENST00000344836	1.0000e+00	1.2958e-02	4.0000e-03	6.1000e-02
ATP1A3	ENST00000545399	1.0000e+00	0.0000e+00	0.0000e+00	6.2000e-02
ASH1L	ENST00000392403	1.0000e+00	2.3938e-02	1.0000e-02	6.2000e-02
ANKRD17	ENST00000358602	1.0000e+00	1.9796e-02	7.0000e-03	6.2000e-02
SMC1A	ENST00000322213	1.0000e+00	0.0000e+00	0.0000e+00	6.2000e-02
NPEPPS	ENST00000322157	1.0000e+00	0.0000e+00	0.0000e+00	6.2000e-02
CHERP	ENST00000546361	1.0000e+00	0.0000e+00	0.0000e+00	6.2000e-02
MED13L	ENST00000281928	1.0000e+00	2.0314e-02	7.0000e-03	6.4000e-02
RPRD2	ENST00000369068	1.0000e+00	0.0000e+00	0.0000e+00	6.4000e-02
KMT2A	ENST00000534358	1.0000e+00	3.1118e-02	1.5000e-02	6.5000e-02
CREBBP	ENST00000262367	1.0000e+00	2.5349e-02	1.1000e-02	6.6000e-02
SF3B1	ENST00000335508	1.0000e+00	1.3864e-02	4.0000e-03	6.6000e-02
EIF3B	ENST00000360876	1.0000e+00	0.0000e+00	0.0000e+00	6.7000e-02
PPFIA1	ENST00000253925	1.0000e+00	1.4130e-02	4.0000e-03	6.7000e-02
ZSWIM6	ENST00000252744	1.0000e+00	0.0000e+00	0.0000e+00	6.7000e-02
PRPF3	ENST00000324862	1.0000e+00	0.0000e+00	0.0000e+00	6.8000e-02
KAT6A	ENST00000396930	1.0000e+00	2.1841e-02	8.0000e-03	6.9000e-02
KMT2B	ENST00000222270	1.0000e+00	2.6915e-02	1.1000e-02	7.0000e-02
SIN3A	ENST00000394947	1.0000e+00	1.4832e-02	4.0000e-03	7.0000e-02
CHD2	ENST00000394196	1.0000e+00	2.7031e-02	1.1000e-02	7.0000e-02
ARID1A	ENST00000324856	1.0000e+00	2.2463e-02	8.0000e-03	7.1000e-02
GLTSCR1L	ENST00000314073	1.0000e+00	0.0000e+00	0.0000e+00	7.1000e-02
SCN1A	ENST00000303395	1.0000e+00	2.2602e-02	8.0000e-03	7.1000e-02
MED12	ENST00000374080	1.0000e+00	2.2555e-02	8.0000e-03	7.1000e-02
TJP1	ENST00000346128	1.0000e+00	2.2625e-02	8.0000e-03	7.1000e-02
SPEN	ENST00000375759	1.0000e+00	3.1010e-02	1.4000e-02	7.1000e-02
WDFY3	ENST00000295888	1.0000e+00	3.7990e-02	2.1000e-02	7.1000e-02
HDAC6	ENST00000334136	1.0000e+00	0.0000e+00	0.0000e+00	7.2000e-02
EHMT1	ENST00000460843	1.0000e+00	1.5126e-02	4.0000e-03	7.2000e-02
JMJD1C	ENST00000399262	1.0000e+00	2.7844e-02	1.2000e-02	7.2000e-02
MAP3K12	ENST00000547035	1.0000e+00	0.0000e+00	0.0000e+00	7.2000e-02
GGNBP2	ENST00000304718	1.0000e+00	0.0000e+00	0.0000e+00	7.3000e-02
CASK	ENST00000378166	1.0000e+00	0.0000e+00	0.0000e+00	7.3000e-02
TLE3	ENST00000558939	1.0000e+00	0.0000e+00	0.0000e+00	7.3000e-02
CHD6	ENST00000373233	1.0000e+00	3.1735e-02	1.5000e-02	7.3000e-02
UBR5	ENST00000520539	1.0000e+00	3.7137e-02	1.9000e-02	7.3000e-02
EIF4G1	ENST00000424196	1.0000e+00	2.3611e-02	9.0000e-03	7.4000e-02
NBEA	ENST00000400445	1.0000e+00	3.5174e-02	1.7000e-02	7.4000e-02
